연번,노선명,차로수,관측지점,2021년 교통량,2022년 교통량
1,국도39호선(호국로),6,덕양구 화정동 689-9 일원,36457,20008
2,시도 55호선(서오릉로),6,덕양구 용두동 432-168 일원(서오릉 앞),35480,37471
3,시도 63호선(북한산로),4,덕양구 지축동 21-3 일원(북한산 앞),15668,16634
4,시도 73호선(행신로),4,덕양구 행주내동 400-2 일원(강매기지창 앞),33762,33701
5,시도 74호선(중앙로),6,덕양구 덕은동 52-2 일원(유가골 앞),28679,29629
6,시도 79호선(권율대로),6,덕양구 행신동 1125 일원(서정마을 5단지 앞),85727,86080
7,시도79호선(삼송로),6,덕양구 지축동 658-3 일원,13867,15180
8,시도 94호선(충장로),6,덕양구 화정동 139 일원,31721,27931
9,지방도356호선(고양대로),6,덕양구 삼송동 213-8 일원(닭알부리길 앞),35517,37591
10,지방도357호선(제2자유로),2,덕양구 강매동 530-3 일원(다이아몬드 IC연결로),29857,30283
11,시도 57호선(호수로),2,일산동구 백석동 454-1일원,6752,6052
12,시도 62호선(백마로),6,일산동구 장항동 540-2일원(호수교 앞),82228,81254
13,시도 62호선(백마로),6,일산동구 풍동 156-1일원(차량등록사업소 앞),38955,37828
14,시도 71호선(호수로),7,일산동구 장항동 195 일원(mbc 드림센터 앞),57057,53586
15,시도 74호선(중앙로),8,일산동구 마두동 1120 일원(마두역 앞),37727,38309
16,시도 81호선(견달산로),2,일산동구 식사동1147-2일원(삼일주유소 앞),17966,17655
17,시도 82호선(사리현로),2,일산동구 사리현동 112-6 일원(사리현사거리 앞),16965,14302
18,시도 83호선(동국로),2,일산동구 문봉동 154-4 일원(문봉사거리 앞),13543,12189
19,시도 83호선(동국로),2,일산동구 문봉동 100-28 일원(군부대 삼거리),7868,7830
20,시도92호선(경의로),6,일산동구 정발산동 1414 일원,43832,44246
21,시도 100호선(킨텍스로),6,일산동구 장항동 1570 일원(한류월드 앞),40242,40630
22,지방도356호선(고양대로),9,일산동구 식사동 571-15 일원(식사 교차로 일원),88896,91255
23,일산로,6,일산동구 마두동 1109 일원,31994,30112
24,시도92호선(경의로),6,일산서구 덕이동 274-9 일원(탄현역 앞),45824,47120
25,지방도356호선(송산로),2,일산서구 구산동 1133 일원(K할인마트 앞),4042,4397
